t_s,x_km,v_kmh,a_ms2,P_traction_kW,P_lev_kW,P_aux_kW,E_net_kWh
3350.0,1031.237125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.227728392329457
3360.0,1034.472125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.25674616280262
3370.0,1037.707125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.285763933275785
3380.0,1040.942125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.314781703748945
3390.0,1044.177125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.34379947422211
3400.0,1047.412125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.372817244695273
3410.0,1050.647125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.401835015168434
3420.0,1053.882125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.430852785641598
3430.0,1057.117125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.459870556114762
3440.0,1060.352125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.488888326587926
3450.0,1063.587125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.517906097061086
3460.0,1066.822125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.54692386753425
3470.0,1070.057125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.575941638007414
3480.0,1073.292125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.604959408480575
3490.0,1076.527125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.63397717895374
3500.0,1079.762125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.662994949426903
3510.0,1082.997125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.692012719900067
3520.0,1086.232125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.721030490373227
3530.0,1089.467125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.75004826084639
3540.0,1092.702125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.779066031319555
3550.0,1095.937125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.808083801792716
3560.0,1099.172125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.83710157226588
3570.0,1102.407125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.866119342739044
3580.0,1105.642125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.895137113212208
3590.0,1108.877125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.924154883685368
3600.0,1112.112125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.953172654158532
3610.0,1115.347125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.982190424631696
3620.0,1118.582125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.011208195104857
3630.0,1121.817125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.04022596557802
3640.0,1125.052125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.069243736051185
3650.0,1128.287125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.09826150652435
3660.0,1131.522125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.12727927699751
3670.0,1134.757125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.156297047470673
3680.0,1137.992125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.185314817943837
3690.0,1141.227125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.214332588416998
3700.0,1144.462125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.24335035889016
3710.0,1147.697125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.272368129363326
3720.0,1150.932125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.301385899836486
3730.0,1154.167125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,22.33040367030965
